method,mean_r2,std_r2,min_r2,max_r2
ogd,0.03135500738396757,0.030731983720655505,-0.02181504609930096,0.05722722710688011
robust_omd[trimmed_mean],-12.948267998715732,29.08499071427299,-64.97707905657784,0.07170052041141517
adaptive_clip,-13.774422135966471,30.9329038330596,-69.10888120527315,0.07005975556454525
robust_omd[median_of_means],-15.716676673586182,35.291306236719294,-78.84768255477347,0.07926984274882698
robust_omd[catoni],-33.35617623753287,74.7351349512285,-167.0464490224935,0.07889831335720332
