date_id,n,median_gnorm,p99_gnorm,max_gnorm,hill_alpha
0,6792,4.316744448808893,40.524246569217475,360.40296386427553,2.6343834273020197
1,10188,7.5388578194730185,102.7642745575035,687.9753135214264,2.240503170759181
2,9339,5.439023412873207,70.56360601490175,234.92985792941613,2.469640186109734
3,10188,7.630334404237367,109.44664936968196,793.846900986989,1.8464143560821813
4,10188,5.385233290627745,53.19183084712523,131.94542059769634,2.8581110320471566
5,7641,7.866111706507007,67.9308632242252,329.9581386221399,2.737943576740536
6,10188,8.148103839607225,87.08017526178742,332.34906273547136,2.672836166626046
7,6792,8.084555348909365,86.70986790834833,235.48882319280338,2.5166615047287313
8,8490,25.49760494806307,404.06235225964144,783.0034716895184,2.083745392264469
9,8490,11.379310969965683,161.35264194027886,490.4778402040998,2.4938602525608333
10,6792,7.536014367874589,134.10890967473034,268.10334781373757,1.8544030819608728
11,5943,11.980507622769192,149.7869020493713,412.2988799234408,2.033466594987406
12,6792,10.714397077031503,115.92211028225847,257.05401427190446,2.5176081815372564
13,11037,9.509051158374621,107.94022966633922,318.2131095566627,2.454549953234937
14,6792,10.735469725843519,113.63196611620953,494.88539196580655,2.0873267218021034
15,5943,11.190276825966121,74.47266804865039,165.5116311223206,3.3109836231023153
16,6792,11.372464278993865,250.38818410689768,1186.4418398813182,1.7028210843601264
17,6792,11.505480927026134,144.56905119190876,630.2717002871677,2.1585251809261465
18,3396,10.340861000392135,161.52698633414772,353.21656231735835,1.7572756736807975
19,5094,11.112569249050832,85.21392285625713,141.20920680450843,2.7330360615670597
20,11037,13.403506659185783,235.3468221878107,980.3865054267227,2.1507035944409787
21,12735,9.868456901000494,124.48474382236688,819.1512059020046,2.3661476229065834
22,9339,6.998452023189571,82.38831676559568,300.30855133727204,2.762128748987889
23,9339,10.034650022195512,107.75248696042759,466.40413206324604,2.4963118669891835
24,11886,7.075115005848458,100.8132163098154,287.0638652234918,2.898709820106621
25,10188,12.826981808354697,142.81473228597886,431.9100619837286,2.470248064889609
26,9339,12.059612566321421,155.54677980944783,314.53928992570434,2.8085432684133713
27,7641,8.76918213280247,86.68560260832292,191.87993131731872,2.860792882539131
28,8490,7.284112160524428,76.16973392117403,314.43520034631183,2.484943437178805
29,13584,9.638182553588498,109.25841616847812,444.2899075387606,2.5922464687534896
30,10188,7.089142354885524,61.31049842521766,213.617201252729,2.8915987593731756
31,10188,9.897075438747533,164.15255880043188,497.89443176128873,2.191220936066289
32,9339,8.220921478752729,130.10781158367786,390.48320983349663,2.0392029027630394
33,8490,5.714963241968019,55.14222043064336,174.1844385920573,2.9336105659144756
34,8490,5.31238842018262,66.2372142717048,543.0203416372558,2.4585042356972133
35,9339,7.827980233412765,76.16076181051714,276.96783493781913,2.681219231784887
36,6792,6.865399852472069,57.360453663191706,162.86127727924614,2.5144746897169092
37,9339,5.85896037441892,85.31743760590696,4124.4974439327125,2.0281222050977896
38,8490,6.345522558910561,61.45827925585447,156.9227817433169,2.8330473314173075
39,10188,8.450406716362771,85.67946369331403,338.9266451884188,2.5764777855845575
40,9339,6.171513761371997,74.13712867217647,126.47348632929398,2.302331963039115
41,9339,7.763443265995626,92.46728743262568,898.5598724674744,2.4715129505684037
42,8490,9.722589724418166,108.2774642749488,1515.4250948551144,1.9529698481228102
43,7641,8.141131980835583,106.3822027846168,296.0996199993906,1.9857020024220624
44,10188,11.448340236473372,106.29697231514768,247.95503395353927,2.821261178935142
45,11037,7.12767769399741,91.79824734926257,260.7012835740334,2.127973293475923
46,9339,7.241716440271815,95.53697444884541,243.58982116099082,1.986899058550203
47,9339,6.42530322365316,69.14429116167062,205.77186230457096,2.4904465772958475
48,9339,7.180366356201652,92.82071494729338,1490.034379215281,2.3395486955397837
49,9339,6.094526677610457,105.91232986940548,427.87948671020126,1.7944816160244024
50,10188,6.156768366805016,94.4028071533559,222.56639022431378,1.959795865027803
51,8490,7.003661577026179,75.85590667238355,339.08575176017996,2.2250827315073507
52,8490,4.803537656036308,73.82884492862034,185.59269628496352,2.255127984773397
53,8490,8.07625173724601,85.18583964992419,252.5936997109318,2.2322574063183755
54,10188,7.927696506105397,98.49400183028366,270.6135453361732,2.448748889146943
55,10188,6.517242094613241,77.29280846171446,304.8326641790026,2.5588514849768274
56,10188,6.294828525707668,73.61897854073253,242.96141464401254,2.527693849952921
57,8490,6.554877149562867,196.2225652248299,730.245270447452,1.2229062407975064
58,8490,6.949525323602387,103.67896111862775,361.7207468340543,2.1573130884632126
59,7641,9.819911225967243,413.1307917530214,1570.8528598714736,1.1681726964921124
60,8490,5.547049185893682,82.77821295073224,407.1563792099105,1.8584823955053809
