protocol,window,window_idx,method,setting,weighted_r2,diverged
per-step,"[600,720)",5,Scale-adaptive OGD,lr=0.2,0.08594,false
per-step,"[600,720)",5,SN-OMD (M=5),lr=2,0.08685,false
per-step,"[600,720)",5,fixed-tau clip,"lr=0.2,tau=20",0.19908,false
per-step,"[600,720)",5,AdaGrad-Norm,lr=1,0.18906,false
per-step,"[750,870)",6,OGD,lr=0.005,-5.685708601635929e+50,true
per-step,"[750,870)",6,Normalized-GD,lr=5,-0.01575,false
per-step,"[750,870)",6,Scale-adaptive OGD,lr=0.2,0.11821,false
per-step,"[750,870)",6,SN-OMD (M=5),lr=2,-0.01906,false
per-step,"[750,870)",6,fixed-tau clip,"lr=0.2,tau=20",0.13096,false
per-step,"[750,870)",6,AdaGrad-Norm,lr=1,0.20082,false
per-step,"[900,1020)",7,OGD,lr=0.005,-347663649333.6951,true
per-step,"[900,1020)",7,Normalized-GD,lr=5,-0.20241,false
per-step,"[900,1020)",7,Scale-adaptive OGD,lr=0.2,0.12351,false
per-step,"[900,1020)",7,SN-OMD (M=5),lr=2,-0.09529,false
per-step,"[900,1020)",7,fixed-tau clip,"lr=0.2,tau=20",0.01966,false
per-step,"[900,1020)",7,AdaGrad-Norm,lr=1,0.19356,false
per-step,"[1050,1170)",8,OGD,lr=0.005,-4.580360563406833e+34,true
per-step,"[1050,1170)",8,Normalized-GD,lr=5,-0.19279,false
per-step,"[1050,1170)",8,Scale-adaptive OGD,lr=0.2,0.11486,false
per-step,"[1050,1170)",8,SN-OMD (M=5),lr=2,0.17024,false
per-step,"[1050,1170)",8,fixed-tau clip,"lr=0.2,tau=20",0.02122,false
per-step,"[1050,1170)",8,AdaGrad-Norm,lr=1,0.20009,false
per-step,"[1200,1320)",9,OGD,lr=0.005,-3.549119004073727e+102,true
per-step,"[1200,1320)",9,Normalized-GD,lr=5,0.20905,false
per-step,"[1200,1320)",9,Scale-adaptive OGD,lr=0.2,0.0834,false
per-step,"[1200,1320)",9,SN-OMD (M=5),lr=2,0.05862,false
per-step,"[1200,1320)",9,fixed-tau clip,"lr=0.2,tau=20",0.26981,false
per-step,"[1200,1320)",9,AdaGrad-Norm,lr=1,0.15572,false
per-step,"[1350,1470)",10,OGD,lr=0.005,-1.4150063414488816e+30,true
per-step,"[1350,1470)",10,Normalized-GD,lr=5,-0.08981,false
per-step,"[1350,1470)",10,Scale-adaptive OGD,lr=0.2,0.09716,false
per-step,"[1350,1470)",10,SN-OMD (M=5),lr=2,-0.03007,false
per-step,"[1350,1470)",10,fixed-tau clip,"lr=0.2,tau=20",0.08293,false
per-step,"[1350,1470)",10,AdaGrad-Norm,lr=1,0.13421,false
