tracker,A1_bracket,lower_ok,W_s,W_s_over_Vsig
trailing-median W=500 (1-timescale),0.9698121864761953,0.9873289520436227,5005.302006677467,8.067014696574743
"trailing-median W=64 (fast, noisy)",0.8640597153560567,0.9281871364662633,38632.31946061366,62.26347349985646
two-timescale envelope (ours),0.7622185105293638,1.0,4175.711028727062,6.729967980443798
