quantity,hill_alpha,excess_kurtosis,mean,p99,p999,max,p999_over_mean
gradient_norm@w*,2.4303813201378635,111.37309429220775,16.91509697118445,125.79697385712387,317.4158682447846,1149.1606266278184,18.765240825134807
gradient_norm@0,2.400178653274414,103.57126633407537,17.06340818711127,127.53350286146404,327.7789066398668,1019.8038433838641,19.209462907149604
residual@w*,4.4539336133581005,5.902426470349035,0.581688525873223,3.2638399519047288,4.973225119719487,5.848814005486471,8.54963592801448
feature_norm||x||,4.0808681207320445,164.2919783033218,7.689343734097815,19.661478731093897,34.980192251911376,208.56134978322902,4.549177857246042
target|y|,4.359309133569953,5.980768538183092,0.5855509312104606,3.2921468114852934,5.0,5.0,8.538966866065632
weight,31.7683738518106,1.047182619501677,1.9331548458063603,5.32311487197876,5.611514568328857,5.611514568328857,2.9027755228723926
