method,mean_r2,std_r2,min_r2,max_r2
ogd,0.03135500738396757,0.030731983720655505,-0.02181504609930096,0.05722722710688011
robust_omd[median_of_means],-141575465370.29422,290523162613.4025,-659951522660.895,0.11675877955296476
robust_omd[catoni],-766112555879.5132,1713072276494.8618,-3830549404352.261,0.024375064681779857
robust_omd[trimmed_mean],-774584246588.2074,1623514803153.581,-3674756564682.7607,0.10339971170651818
adaptive_clip,-43353587195778.45,96574123279480.14,-216109878819628.75,0.11575252570411299
