protocol,method,mean,std,min,max,n_diverged
per-row,RobustOMD,-2.0031430759471353e+20,3.468780099142243e+20,-6.008545292480706e+20,-717320425026034.1,3
per-row,AdaptiveClip,-8.609640881047851e+20,1.4900075565420655e+21,-2.5814764220052443e+21,-655467121373485.1,3
per-step,RobustOMD,-1.014032716553196e+44,1.70318177994654e+44,-2.9803747455536848e+44,-6.027856639269055e+35,3
per-step,AdaptiveClip,-4.9853066824805194e+79,8.634777600296793e+79,-1.4955889026312242e+80,-3.431530461705171e+61,3
