standardize,method,learning_rate,weighted_r2,final_regret
true,ogd,0.001,0.023391666620038,270.4544181596013
true,adaptive_clip,0.001,0.01799065557737789,955.1694499278497
true,robust_omd[catoni],0.001,0.01976333239077943,730.4377374732748
false,ogd,1e-6,0.0038392563470349694,2723.7087272392946
false,adaptive_clip,1e-6,0.0007824067328527917,3111.241888003692
false,robust_omd[catoni],1e-6,0.0012089791621563428,3057.1630216256603
