method,t,wnorm,loss
SN-OMD (M=5),1,8.000000000000002,2.3417687592967833
SN-OMD (M=5),51,26.558995541579414,0.8483265486483493
SN-OMD (M=5),101,24.749251245161503,784.6320160371721
SN-OMD (M=5),151,23.25464546655121,56.55349389140635
SN-OMD (M=5),201,22.08552964976557,697.2495507697705
SN-OMD (M=5),251,21.10125040908481,10.484335804112321
SN-OMD (M=5),301,20.353651813533734,34.15463958887678
SN-OMD (M=5),351,20.093267489288902,5.462940593549693
SN-OMD (M=5),401,19.68532280766788,3.8059281351749132
SN-OMD (M=5),451,19.26494104915432,8.418016760557043
SN-OMD (M=5),501,18.65033665021451,31.399720137151462
SN-OMD (M=5),551,18.392584999858567,0.3226943756049803
SN-OMD (M=5),601,18.157159090076487,115.28633415169693
SN-OMD (M=5),651,17.924825304841782,5.060756948954338
SN-OMD (M=5),701,17.61552808842518,40.5068871334989
SN-OMD (M=5),751,17.4251880122718,151.24775636876873
SN-OMD (M=5),801,17.21859437753747,2.6011914308078796
SN-OMD (M=5),851,16.985974116238626,57.73298543099028
SN-OMD (M=5),901,16.63636294145919,2.2717132580348953
SN-OMD (M=5),951,16.30333892611581,3.962406623927582
SN-OMD (M=5),1001,16.03897575573246,8.838406318512888
SN-OMD (M=5),1051,15.760084394117447,21.082617380283914
SN-OMD (M=5),1101,15.481240055311423,25.934060742707164
SN-OMD (M=5),1151,15.294542260908205,3.6768757428801093
SN-OMD (M=5),1201,15.07145520230897,12.965313584351152
SN-OMD (M=5),1251,14.879851048288993,15.117892967204003
SN-OMD (M=5),1301,14.694864436748162,0.001587472662454273
SN-OMD (M=5),1351,14.531719615768464,0.3116232487020222
SN-OMD (M=5),1401,14.408251502053899,36.69901151881855
SN-OMD (M=5),1451,14.243677944051067,0.00217588637047278
SN-OMD (M=5),1501,14.100525253220232,0.9899401844062975
SN-OMD (M=5),1551,13.909936111057684,0.46184464181578166
SN-OMD (M=5),1601,13.794070685155702,21.395132219062617
SN-OMD (M=5),1651,13.655285530689637,0.07680943180736896
SN-OMD (M=5),1701,13.49852816160819,0.1760617587003737
SN-OMD (M=5),1751,13.311184851241322,6.555957662809108
SN-OMD (M=5),1801,13.155406786429056,24.05267655926119
SN-OMD (M=5),1851,13.086356637757905,16.102948305282595
SN-OMD (M=5),1901,12.99692782521957,0.06981382620631456
SN-OMD (M=5),1951,12.925013695198702,0.9240341304807008
SN-OMD (M=5),2001,12.84322466360265,12.354363877171222
SN-OMD (M=5),2051,12.744139678766622,28.175054652882025
SN-OMD (M=5),2101,12.627118176829267,10.135367036171102
SN-OMD (M=5),2151,12.48201093570522,1.4089558605770593
SN-OMD (M=5),2201,12.398327792377405,29.836037825485885
SN-OMD (M=5),2251,12.335166351859781,5.5575601386208655
SN-OMD (M=5),2301,12.19350248770889,11.28177874809694
SN-OMD (M=5),2351,12.119446062663258,3.794793664496371
SN-OMD (M=5),2401,12.050442302099691,17.459732281904138
SN-OMD (M=5),2451,11.953808749109552,12.81733291618594
SN-OMD (M=5),2501,11.825642772626177,1.0875642433904604
SN-OMD (M=5),2551,11.766935805836011,0.15369692149411257
SN-OMD (M=5),2601,11.695647767885536,1.534572897816388
SN-OMD (M=5),2651,11.603406618187865,22.70099678195089
SN-OMD (M=5),2701,11.526742453080685,0.4880125439836322
SN-OMD (M=5),2751,11.448818877610911,15.937750795076461
SN-OMD (M=5),2801,11.270885008894536,20.025508184386343
SN-OMD (M=5),2851,11.180283613728836,4.84422577135615
SN-OMD (M=5),2901,11.138030899294025,0.05488238159389601
SN-OMD (M=5),2951,11.077301280865068,0.009373774719473055
SN-OMD (M=5),3001,10.745184384398572,2.857264817891999
SN-OMD (M=5),3051,10.614043278655261,5.607699731337667
SN-OMD (M=5),3101,10.46905020725338,3.266646713354707
SN-OMD (M=5),3151,10.377989881050379,5.454611547612476
SN-OMD (M=5),3201,10.304666289446418,0.29484773086168864
SN-OMD (M=5),3251,10.20628155996157,0.9317860804180075
SN-OMD (M=5),3301,10.134420814643768,0.0331116696575431
SN-OMD (M=5),3351,10.082354174031677,0.012266962833482145
SN-OMD (M=5),3401,10.024464779086387,0.8646239719523563
SN-OMD (M=5),3451,9.97537839889208,0.7522387037638267
SN-OMD (M=5),3501,9.94579432181484,1.4307647505913175
SN-OMD (M=5),3551,9.906022959629862,0.109442771566597
SN-OMD (M=5),3601,9.872190739540951,3.0397623983878037
SN-OMD (M=5),3651,9.808751930093933,4.235985300225336
SN-OMD (M=5),3701,9.784156542969676,0.25087218341658013
SN-OMD (M=5),3751,9.731374319427658,0.09493092067363462
SN-OMD (M=5),3801,9.691200212817611,0.3757793966124091
SN-OMD (M=5),3851,9.64408143007704,0.17045266371845655
SN-OMD (M=5),3901,9.6218005635024,1.7062095777788873
SN-OMD (M=5),3951,9.564594475363004,3.3495765662981354
SN-OMD (M=5),4001,9.515637898111246,0.9679104208702095
SN-OMD (M=5),4051,9.495032878179614,1.1282721073955897
SN-OMD (M=5),4101,9.456527375609435,1.291358698568023
SN-OMD (M=5),4151,9.421652836094962,0.05215893474200251
SN-OMD (M=5),4201,9.380226296089361,4.402323386504588
SN-OMD (M=5),4251,9.358227541187413,0.3832904612756047
SN-OMD (M=5),4301,9.339712479304586,0.30879845604476197
SN-OMD (M=5),4351,9.31609847975094,0.5410048820960962
SN-OMD (M=5),4401,9.302199841053733,0.0004074470805760924
SN-OMD (M=5),4451,9.262036032040148,1.6932909396727214
SN-OMD (M=5),4501,9.194467747809298,2.766523506828698
SN-OMD (M=5),4551,9.132937506187554,0.7884642341492429
SN-OMD (M=5),4601,9.093030130566214,11.9930809395982
SN-OMD (M=5),4651,9.045020526512497,0.10227240176722499
SN-OMD (M=5),4701,8.99953053551023,0.09274489782240558
SN-OMD (M=5),4751,8.9706089160789,1.4493654786181138
SN-OMD (M=5),4801,8.959151192981126,0.452265306524091
SN-OMD (M=5),4851,8.938953532644652,0.02805607326049531
SN-OMD (M=5),4901,8.91961913051329,0.01928053229462162
SN-OMD (M=5),4951,8.876887998733443,1.0457483522792466
SN-OMD (M=5),5001,8.82472143861387,0.1963580539605149
SN-OMD (M=5),5051,8.75898330365995,0.9785431915396268
SN-OMD (M=5),5101,8.717538282498793,1.2019617345397258
SN-OMD (M=5),5151,8.679261842049605,0.36318135585669703
SN-OMD (M=5),5201,8.644321080919841,4.505110340850857
SN-OMD (M=5),5251,8.606342161492593,5.014365109145206
SN-OMD (M=5),5301,8.552285434107956,0.009188852028852374
SN-OMD (M=5),5351,8.517302005112239,2.6663674657175696
SN-OMD (M=5),5401,8.474129681087714,0.5563406791584035
SN-OMD (M=5),5451,8.441094236014003,0.5733752509692538
SN-OMD (M=5),5501,8.377875951101423,0.019139978389276176
SN-OMD (M=5),5551,8.335681515789299,0.1033877742351402
SN-OMD (M=5),5601,8.312261861246654,5.791937471819498
SN-OMD (M=5),5651,8.281367551617377,26.042511145759853
SN-OMD (M=5),5701,8.26108547923019,0.0016443586114900186
SN-OMD (M=5),5751,8.185548422770951,0.009386588086308035
SN-OMD (M=5),5801,8.147987066703944,9.74992453728585
SN-OMD (M=5),5851,8.104119945346188,0.054801201883614294
SN-OMD (M=5),5901,8.077004090226954,0.1370840056676815
SN-OMD (M=5),5951,8.022984597219875,0.0019733594830959856
SN-OMD (M=5),6001,7.9839113667871,2.1236884721733578
SN-OMD (M=5),6051,7.959138282378456,0.3010692369285748
SN-OMD (M=5),6101,7.918210983147433,0.16590925203346185
SN-OMD (M=5),6151,7.89286205396824,1.0747770558684109
SN-OMD (M=5),6201,7.861632747864529,5.9489813760263175
SN-OMD (M=5),6251,7.838164070220996,0.9122648508827673
SN-OMD (M=5),6301,7.808615722512934,1.3184701849674694
SN-OMD (M=5),6351,7.715513599204451,0.0010514889308901956
SN-OMD (M=5),6401,7.660572919707423,0.07543935605079297
SN-OMD (M=5),6451,7.647122713278038,7.312446507906548
SN-OMD (M=5),6501,7.620238362702496,0.3264891296248359
SN-OMD (M=5),6551,7.597678081172733,0.2822132548775261
SN-OMD (M=5),6601,7.58061088860149,0.818688907351023
SN-OMD (M=5),6651,7.552965019014807,0.4622906077158113
SN-OMD (M=5),6701,7.534255390792606,2.5310680039764035
SN-OMD (M=5),6751,7.52852086525791,0.8386137384697392
SN-OMD (M=5),6801,7.317250212392366,31.929364399760072
SN-OMD (M=5),6851,6.682918172897427,2.5077191405903245
SN-OMD (M=5),6901,6.545464705531596,30.286914661720456
SN-OMD (M=5),6951,6.446209572645684,17.129005942892945
SN-OMD (M=5),7001,6.346580446353588,15.357471504133663
SN-OMD (M=5),7051,6.296988590970887,5.24901051963189
SN-OMD (M=5),7101,6.266509974044086,7.199458609674757
SN-OMD (M=5),7151,6.217391201244702,0.6274533282582238
SN-OMD (M=5),7201,6.174869598914748,12.792836183823143
SN-OMD (M=5),7251,6.114183931979908,60.421199500257586
SN-OMD (M=5),7301,6.0587394639438745,0.001983270522875629
SN-OMD (M=5),7351,5.977061053749903,0.5415592359648663
SN-OMD (M=5),7401,5.937814503260493,3.1782874183233183
SN-OMD (M=5),7451,5.9063483032614785,1.1463837572051259
SN-OMD (M=5),7501,5.8777461047582324,2.35922908357119
SN-OMD (M=5),7551,5.846805003777981,0.037167489906744705
SN-OMD (M=5),7601,5.834109158327553,0.46940775727554707
SN-OMD (M=5),7651,5.755823020080325,0.6765848010096174
SN-OMD (M=5),7701,5.6843071097063635,9.022303878495414
SN-OMD (M=5),7751,5.649156386523936,0.010882032454581865
SN-OMD (M=5),7801,5.631149168682225,0.14383082783310186
SN-OMD (M=5),7851,5.5785562750558135,0.0681754655071901
SN-OMD (M=5),7901,5.522610254676489,2.275127167561087
SN-OMD (M=5),7951,5.45268158342819,0.4485062801318734
SN-OMD (M=5),8001,5.380463407469316,0.14801805972147516
SN-OMD (M=5),8051,5.362065247884717,0.19716219964485726
SN-OMD (M=5),8101,5.315717092523844,1.1636527975667077
SN-OMD (M=5),8151,5.266189939823857,0.6648794657022741
SN-OMD (M=5),8201,5.236454063695533,0.6082997116690707
SN-OMD (M=5),8251,5.189996429708061,0.056756522233571534
SN-OMD (M=5),8301,5.1624831371740365,0.03847474922931796
SN-OMD (M=5),8351,5.137630629355691,2.004909094951096
SN-OMD (M=5),8401,5.10855561481313,0.10249124609722737
SN-OMD (M=5),8451,5.0661598303154705,0.5037303019138273
SN-OMD (M=5),8501,5.03457419135311,0.7669164311963894
SN-OMD (M=5),8551,5.007882562234709,0.7931772828243502
SN-OMD (M=5),8601,4.990065018473474,2.1301407384555313
SN-OMD (M=5),8651,4.970679850789891,0.5443078820611438
SN-OMD (M=5),8701,4.919118925777176,1.075323382765677
SN-OMD (M=5),8751,4.909716921611295,0.4956971453899805
SN-OMD (M=5),8801,4.885677387783797,0.6387151997277069
SN-OMD (M=5),8851,4.852294195906086,2.3397331834975037
SN-OMD (M=5),8901,4.812413828446132,0.9032842052307304
SN-OMD (M=5),8951,4.774283536831607,0.07091404646279202
SN-OMD (M=5),9001,4.724125806330629,0.9852737912587418
SN-OMD (M=5),9051,4.703717985544945,0.000951171450057909
