protocol,method,mean,std,min,max,n_diverged
per-row,RobustOMD,-0.0066510000000000015,0.048053695071242956,-0.13405,0.03383,0
per-row,AdaptiveClip,-0.010232000000000002,0.05121146243219817,-0.14713,0.03144,0
per-step,RobustOMD,-3726987103716.8906,11781345435497.242,-37257282246697.8,0.13126,9
per-step,AdaptiveClip,-9.865712531787413e+16,3.118016017106928e+17,-9.860599230111721e+17,0.11739,9
