learner,learning_rate,weighted_r2,final_regret,mean_loss,n_nonfinite
ogd,0.05,-981817675223787.8,2.7031647553558987e+20,1351582377677964.0,0
adaptive_clip,0.05,-1.8473806011857805,515429.9933183751,3.919739418245444,0
ogd,0.01,-106618.84559836973,29354571603.24626,146774.2006056833,0
adaptive_clip,0.01,0.0685526192103113,-12069.489089069142,1.282242006208218,0
ogd,0.005,-286.036627124115,78759117.63897407,395.13817764652396,0
adaptive_clip,0.005,0.04412132539650104,-5343.0047293144935,1.3158744280069923,0
ogd,0.001,0.02382271216022991,245.65977200272988,1.343817750513578,0
adaptive_clip,0.001,0.020313466937987745,1211.8338633893636,1.348648620970511,0
ogd,0.0005,0.01831598860099415,1761.7845493878522,1.3513983744005038,0
adaptive_clip,0.0005,0.015218302602918565,2614.647135228811,1.3556626873297086,0
ogd,0.0001,0.007810087385143549,4654.295308421155,1.3658609281956702,0
adaptive_clip,0.0001,0.005704952076847625,5233.88637855989,1.3687588835463638,0
ogd,0.00005,0.0047811373858374084,5488.233328735689,1.3700306182972428,0
adaptive_clip,0.00005,0.0032133302656641716,5919.8858704850345,1.37218888100599,0
ogd,0.00001,0.0011679930173108533,6483.013190565732,1.375004517606393,0
adaptive_clip,0.00001,0.000709922394140694,6609.130329751984,1.3756351033023246,0
robust_omd[catoni],0.005,0.04731181989489486,-6221.419581465849,1.3114823537462343,0
