window,method,weighted_r2,final_regret
"[0,20)",ogd,0.03634664220387607,-111.22193985323572
"[0,20)",adaptive_clip,0.04979064972840652,-764.9985751664349
"[0,20)",robust_omd[catoni],0.055171559314639684,-1026.6700267624904
"[0,20)",robust_omd[median_of_means],0.055085113293362076,-1022.4661917955892
"[0,20)",robust_omd[trimmed_mean],0.04930569630604631,-741.415486851756
"[30,50)",ogd,-0.02181504609930096,3623.51063200634
"[30,50)",adaptive_clip,-69.10888120527315,4134420.7935021934
"[30,50)",robust_omd[catoni],-167.0464490224935,9990223.645199379
"[30,50)",robust_omd[median_of_means],-78.84768255477347,4716715.228472714
"[30,50)",robust_omd[trimmed_mean],-64.97707905657784,3887375.463051024
"[100,120)",ogd,0.044469392027426724,-760.1483583520454
"[100,120)",adaptive_clip,0.058472602922939654,-1602.0225783746603
"[100,120)",robust_omd[catoni],0.06731961070189107,-2133.905432172546
"[100,120)",robust_omd[median_of_means],0.06681579158666029,-2103.6157844743993
"[100,120)",robust_omd[trimmed_mean],0.05872217467945606,-1617.026853424503
"[400,420)",ogd,0.04054682168095591,-1551.027047065163
"[400,420)",adaptive_clip,0.05844751722489028,-4662.136186575657
"[400,420)",robust_omd[catoni],0.06417835145541506,-5658.145012481095
"[400,420)",robust_omd[median_of_means],0.06312843921371758,-5475.672126843063
"[400,420)",robust_omd[trimmed_mean],0.05601067160224982,-4238.616738989576
"[900,920)",ogd,0.05722722710688011,-305.9478289959761
"[900,920)",adaptive_clip,0.07005975556454525,-881.855815471283
"[900,920)",robust_omd[catoni],0.07889831335720332,-1278.5193442924412
"[900,920)",robust_omd[median_of_means],0.07926984274882698,-1295.193123318347
"[900,920)",robust_omd[trimmed_mean],0.07170052041141517,-955.4913100161239
