protocol,arm,lr,M,mean,std,min,max,n_diverged,n_diverged_rel,heldout_mean,window1
per-row,published,0.2,5.0,0.16845333333333334,0.12078716708878197,0.09364,0.3078,0,0,0.09878,0.3078
per-row,matched,0.2,2.0,0.16845333333333334,0.12078716708878197,0.09364,0.3078,0,0,0.09878,0.3078
per-step,published,0.2,5.0,0.26872666666666667,0.09876395614460437,0.20238,0.38223,0,0,0.211975,0.38223
per-step,matched,0.2,2.0,0.26872666666666667,0.09876395614460437,0.20238,0.38223,0,0,0.211975,0.38223
