stream,window,mode,cap,lr,P,w_max,true_blowup,jane_div,crypto_div,new_div_k5,new_div_k10,L_ratio,P_ratio,new_div_k20
synthetic,0,snomd,8.0,4.0,32.0,18.87556008813766,false,true,false,false,false,1.002467866648046,0.9962940875360453,false
synthetic,0,ogd,0.0,0.1,,6.050338408686165,false,true,false,false,false,1.0015948591455508,0.9950701998493345,false
synthetic,0,ogd,0.0,4.0,,1.8253921871683217e+36,true,true,true,true,true,1.8794809431850873e+68,3.050102811443822e+68,true
synthetic,0,snomd,1000000000.0,0.1,,2.0739949507952615,false,true,false,false,false,0.9914637103484935,0.9922019102502989,false
synthetic,0,snomd,1000000000.0,4.0,,3418.079890544615,false,true,true,true,true,284.4804672124019,414.27657224893164,true
synthetic,1,snomd,0.5,0.5,0.25,1.0459395304878407,false,true,false,false,false,0.9829726255327379,1.0021275331930737,false
synthetic,1,snomd,8.0,0.5,4.0,1.7886420388083977,false,true,false,false,false,0.9839244906267499,1.0032401089760148,false
synthetic,1,snomd,0.5,4.0,2.0,2.17196957907947,false,true,false,false,false,0.9843580170238656,1.0024864555135697,false
synthetic,1,snomd,8.0,4.0,32.0,15.933284496872698,false,true,false,false,false,1.0035242073053063,1.0060307271416453,false
synthetic,1,ogd,0.0,0.1,,12.740053844929903,false,true,false,false,false,1.0139526445661244,1.0051413225633328,false
synthetic,1,ogd,0.0,4.0,,1.2438419302480435e+55,true,true,true,true,true,9.090330579954138e+105,2.8994932180160167e+106,true
synthetic,1,snomd,1000000000.0,0.1,,2.48709263034588,false,true,false,false,false,0.9909777322954068,1.0038452062223917,false
synthetic,1,snomd,1000000000.0,4.0,,259.0107515340507,false,true,false,true,true,2.4480978920661305,5.228744692248729,true
synthetic,2,snomd,0.5,0.5,0.25,1.0617438105609112,false,true,false,false,false,0.9753683155616223,1.00107213853616,false
synthetic,2,snomd,8.0,0.5,4.0,1.2200410531491859,false,true,false,false,false,0.9770018817909266,1.002159919822981,false
synthetic,2,snomd,0.5,4.0,2.0,2.4923325236716085,false,true,false,false,false,0.9798832682855219,1.002534708067931,false
synthetic,2,snomd,8.0,4.0,32.0,5.8724565824125925,false,true,false,false,false,0.9994084253302129,1.009690458413736,false
synthetic,2,ogd,0.0,0.1,,3.9250433814448065,false,true,false,false,false,0.989888363242491,1.0129668456230312,false
synthetic,2,ogd,0.0,4.0,,1.4198516206428598e+50,true,true,true,true,true,3.097935448891032e+96,6.626399674740493e+96,true
synthetic,2,snomd,1000000000.0,0.1,,1.056850142539307,false,true,false,false,false,0.9793041518998994,1.0006903412706636,false
synthetic,2,snomd,1000000000.0,4.0,,18.319930651598717,false,true,false,false,false,1.0924669054055334,1.1139680696186784,false
