stream,window,mode,cap,lr,P,w_max,true_blowup,jane_div,crypto_div,new_div_k5,new_div_k10,L_ratio,P_ratio,new_div_k20
jane,0,snomd,0.5,0.5,0.25,0.5903613203086753,false,false,false,false,false,0.9016050217254977,0.9347258728670358,false
jane,0,snomd,2.0,0.5,1.0,0.942981865603858,false,false,false,false,false,0.7676348145276289,0.8797528813743065,false
jane,0,snomd,8.0,0.5,4.0,3.257452517184324,false,false,false,false,false,0.7891263185327012,0.772390223474457,false
jane,0,snomd,32.0,0.5,16.0,3.9430949921200202,false,false,false,false,false,0.8439455781703534,0.9472337385806561,false
jane,0,snomd,0.5,1.0,0.5,0.8192538824035761,false,false,false,false,false,0.848784134405593,0.8986554583890942,false
jane,0,snomd,2.0,1.0,2.0,1.8997535119656412,false,false,false,false,false,0.6827989618849442,0.7726949794498513,false
jane,0,snomd,8.0,1.0,8.0,7.21074175424751,false,false,false,false,false,0.9842437125604953,2.185826669956607,false
jane,0,snomd,32.0,1.0,32.0,16.936655512799774,false,true,false,true,true,4.809528089468623,18.443964939070415,true
jane,0,snomd,0.5,2.0,1.0,1.2686258816820952,false,false,false,false,false,0.7738394073861955,0.8275291247827453,false
jane,0,snomd,2.0,2.0,4.0,3.803541346077674,false,false,false,false,false,0.6755035432396285,0.6845749884420751,false
jane,0,snomd,8.0,2.0,16.0,15.62797581070436,false,true,false,true,true,2.135853622137233,8.688553805106128,true
jane,0,snomd,32.0,2.0,64.0,64.34447350128838,false,true,false,true,true,98.93583342325033,345.8029426388082,true
jane,0,snomd,0.5,4.0,2.0,2.6563522333639193,false,false,false,false,false,0.7316192520598024,0.7436181690229285,false
jane,0,snomd,2.0,4.0,8.0,7.770881281067523,false,false,false,false,false,1.006698230740216,2.578763667736563,false
jane,0,snomd,8.0,4.0,32.0,32.00568977953599,false,true,false,true,true,6.656341121563027,32.66641542248284,true
jane,0,snomd,32.0,4.0,128.0,128.6433859655257,false,true,true,true,true,311.75703915330274,1133.8505282165859,true
jane,0,snomd,0.5,8.0,4.0,5.35851206670021,false,false,false,false,false,0.8819699683392839,1.4116736329076147,false
jane,0,snomd,2.0,8.0,16.0,15.481159760838839,false,true,false,true,true,2.6235664825553098,10.361567879656892,true
jane,0,snomd,8.0,8.0,64.0,64.93685167086814,false,true,false,true,true,25.33952570391784,130.02509536249136,true
jane,0,snomd,32.0,8.0,256.0,261.3008528514303,false,true,true,true,true,1209.8050609565255,4392.570931899984,true
jane,0,ogd,0.0,0.01,,13.244831670044261,false,true,false,true,true,4.276414835674912,9.583314052021207,true
jane,0,ogd,0.0,0.1,,3.751839547519896e+38,true,true,true,true,true,2.1570536200465447e+75,1.2041612480963917e+76,true
jane,0,ogd,0.0,1.0,,2.1613064120432915e+153,true,true,true,true,true,1.167052844403761e+300,6.696526377335567e+299,true
