stream,phase,window,mode,cap,lr,w_max,true_blowup,new_div,by_L,by_P,L_ratio,P_ratio,jane_div,new_div_k5,new_div_k10,new_div_k20,new_div_c0.001,jane_div_c0.001,new_div_c1,jane_div_c1,new_div_c1000,jane_div_c1000
jane,full,0,snomd,0.5,0.5,0.5903613203086753,false,false,false,false,0.8690640788447119,1.0476097226401115,false,false,false,false,false,false,false,false,false,true
jane,full,0,snomd,8.0,0.5,3.257452517184324,false,false,false,false,0.8351862532501717,1.1501337238040694,false,false,false,false,false,false,false,false,false,true
jane,full,0,snomd,0.5,4.0,2.6563522333639193,false,false,false,false,0.7743162815269545,0.9146238945251763,false,false,false,false,false,false,false,false,false,true
jane,full,0,snomd,8.0,4.0,32.00568977953599,false,true,true,true,14.815114615989065,64.81449931872248,true,true,true,true,true,true,true,true,true,true
jane,full,0,ogd,0.0,0.1,3.751839547519896e+38,true,true,true,true,5.016193042272815e+75,2.5002736335617034e+76,true,true,true,true,true,true,true,true,true,true
jane,full,0,ogd,0.0,4.0,1.2382831481522046e+154,true,true,true,true,1.383017063066078e+300,6.978714504030479e+299,true,true,true,true,true,true,true,true,true,true
jane,full,0,snomd,1000000000.0,0.1,0.41900286816621907,false,false,false,false,0.807253983504273,0.8151663255266031,false,false,false,false,false,false,false,false,false,true
jane,full,0,snomd,1000000000.0,4.0,4008.446261660765,false,true,true,true,15316296.713755062,23288736.831864044,true,true,true,true,true,true,true,true,true,true
jane,full,1,snomd,0.5,0.5,0.5233824866160343,false,false,false,false,0.8344651180300025,0.7469824774948851,false,false,false,false,false,false,false,false,false,true
jane,full,1,snomd,8.0,0.5,3.314866386001963,false,false,false,false,0.9816380678761095,1.7744898251368768,false,false,false,false,false,false,false,false,false,true
jane,full,1,snomd,0.5,4.0,2.366944262463061,false,false,false,false,0.8250441937239978,1.0998087147393936,false,false,false,false,false,false,false,false,false,true
jane,full,1,snomd,8.0,4.0,32.153319337174665,false,true,true,true,14.860601789025075,58.21836473431906,true,true,true,true,true,true,true,true,true,true
jane,full,1,ogd,0.0,0.1,1.0551922201719358e+17,true,true,true,true,4.416462245343758e+32,1.853227523047111e+33,true,true,true,true,true,true,true,true,true,true
jane,full,1,ogd,0.0,4.0,1.3261523429830972e+154,true,true,true,true,9.211042824029856e+299,3.949909268601231e+299,true,true,true,true,true,true,true,true,true,true
jane,full,1,snomd,1000000000.0,0.1,0.4559279333556044,false,false,false,false,0.8452620286148961,0.7820169054161774,false,false,false,false,false,false,false,false,false,true
jane,full,1,snomd,1000000000.0,4.0,3772.0450337994575,false,true,true,true,8067387.1572456965,5064672.654555982,true,true,true,true,true,true,true,true,true,true
jane,full,2,snomd,0.5,0.5,0.6371188122951913,false,false,false,false,0.8337841677558127,0.7401871184966711,false,false,false,false,false,false,false,false,false,true
jane,full,2,snomd,8.0,0.5,4.02830470032778,false,false,false,false,0.8239510066599898,0.5938659739849896,false,false,false,false,false,false,false,false,false,true
jane,full,2,snomd,0.5,4.0,2.688216015103529,false,false,false,false,0.7591911721398528,0.5351081933885377,false,false,false,false,false,false,false,false,false,true
jane,full,2,snomd,8.0,4.0,34.128451405151985,false,true,true,true,6.057530975322413,18.187251928082773,true,true,true,true,true,true,true,true,true,true
jane,full,2,ogd,0.0,0.1,3.7814063936659046e+25,true,true,true,true,1.5989911660907432e+49,5.629869423513411e+49,true,true,true,true,true,true,true,true,true,true
jane,full,2,ogd,0.0,4.0,1.1060490235514011e+154,true,true,true,true,2.3780603863250042e+299,8.496939985295799e+298,true,true,true,true,true,true,true,true,true,true
