criterion,ray_M,P,M,lr,n_div,n_windows,any_div,frac_div
secondary: Jane _diverged,8.0,0.5,8.0,0.0625,0,10,false,0.0
secondary: Jane _diverged,8.0,128.0,8.0,16.0,10,10,true,1.0
secondary: Jane _diverged,8.0,8.0,8.0,1.0,0,10,false,0.0
secondary: Jane _diverged,8.0,32.0,8.0,4.0,8,10,true,0.8
secondary: Jane _diverged,8.0,16.0,8.0,2.0,0,10,false,0.0
secondary: Jane _diverged,8.0,22.627416997969522,8.0,2.8284271247461903,1,10,true,0.1
secondary: Jane _diverged,8.0,19.027313840043536,8.0,2.378414230005442,1,10,true,0.1
secondary: Jane _diverged,8.0,17.448123722644123,8.0,2.1810154653305154,0,10,false,0.0
secondary: Jane _diverged,8.0,18.220618156107065,8.0,2.277577269513383,0,10,false,0.0
secondary: Jane _diverged,8.0,18.61959774044124,8.0,2.327449717555155,0,10,false,0.0
secondary: Jane _diverged,8.0,18.8223518664045,8.0,2.3527939833005624,1,10,true,0.1
secondary: Jane _diverged,8.0,18.720700314932003,8.0,2.3400875393665004,1,10,true,0.1
secondary: Jane _diverged,16.0,0.5,16.0,0.03125,0,10,false,0.0
secondary: Jane _diverged,16.0,128.0,16.0,8.0,10,10,true,1.0
secondary: Jane _diverged,16.0,8.0,16.0,0.5,0,10,false,0.0
secondary: Jane _diverged,16.0,32.0,16.0,2.0,3,10,true,0.3
secondary: Jane _diverged,16.0,16.0,16.0,1.0,0,10,false,0.0
secondary: Jane _diverged,16.0,22.627416997969522,16.0,1.4142135623730951,0,10,false,0.0
secondary: Jane _diverged,16.0,26.908685288118868,16.0,1.6817928305074292,0,10,false,0.0
secondary: Jane _diverged,16.0,29.34412938254948,16.0,1.8340080864093424,1,10,true,0.1
secondary: Jane _diverged,16.0,28.10003456597279,16.0,1.7562521603732995,1,10,true,0.1
secondary: Jane _diverged,16.0,27.497908769959647,16.0,1.718619298122478,0,10,false,0.0
secondary: Jane _diverged,16.0,27.7973413643793,16.0,1.7373338352737062,0,10,false,0.0
secondary: Jane _diverged,16.0,27.9482781791867,16.0,1.7467673861991688,0,10,false,0.0
secondary: Jane _diverged,32.0,0.5,32.0,0.015625,0,10,false,0.0
secondary: Jane _diverged,32.0,128.0,32.0,4.0,8,10,true,0.8
secondary: Jane _diverged,32.0,8.0,32.0,0.25,0,10,false,0.0
secondary: Jane _diverged,32.0,32.0,32.0,1.0,0,10,false,0.0
secondary: Jane _diverged,32.0,64.0,32.0,2.0,7,10,true,0.7
secondary: Jane _diverged,32.0,45.254833995939045,32.0,1.4142135623730951,4,10,true,0.4
secondary: Jane _diverged,32.0,38.05462768008707,32.0,1.189207115002721,1,10,true,0.1
secondary: Jane _diverged,32.0,34.896247445288246,32.0,1.0905077326652577,0,10,false,0.0
secondary: Jane _diverged,32.0,36.44123631221413,32.0,1.1387886347566916,0,10,false,0.0
secondary: Jane _diverged,32.0,37.23919548088248,32.0,1.1637248587775775,0,10,false,0.0
secondary: Jane _diverged,32.0,37.644703732809,32.0,1.1763969916502812,0,10,false,0.0
secondary: Jane _diverged,32.0,37.84911075149891,32.0,1.182784710984341,0,10,false,0.0
